625242,376575.9584781873,4823590.256693166,625241,376494.1812126406,4823591.138206673
625242,376575.9584781873,4823590.256693166,625236,376602.24767702067,4823638.4569607405
625242,376575.9584781873,4823590.256693166,625240,376537.867878593,4823522.931209748
625239,376426.1931938667,4823534.328856599,625240,376537.867878593,4823522.931209748
625240,376537.867878593,4823522.931209748,625242,376575.9584781873,4823590.256693166
625240,376537.867878593,4823522.931209748,359698672,376507.4364846421,4823483.2841775045
625240,376537.867878593,4823522.931209748,625239,376426.1931938667,4823534.328856599
359698672,376507.4364846421,4823483.2841775045,1378882319,376502.2397676836,4823478.8247037325
359698672,376507.4364846421,4823483.2841775045,2051349585,376499.97740193736,4823483.22138269
359698672,376507.4364846421,4823483.2841775045,4335736262,376517.96845695225,4823482.601659671
359698672,376507.4364846421,4823483.2841775045,625240,376537.867878593,4823522.931209748
625241,376494.1812126406,4823591.138206673,625242,376575.9584781873,4823590.256693166
625262,376661.2484606265,4823808.753733647,746680607,376595.96514425776,4823770.10218129
746680607,376595.96514425776,4823770.10218129,625262,376661.2484606265,4823808.753733647
746680607,376595.96514425776,4823770.10218129,746680678,376592.74408940336,4823778.60488574
746680607,376595.96514425776,4823770.10218129,286216488,376454.9971080602,4823691.90350764
625334,375899.54844456806,4823536.364531016,6441534878,375885.66539618303,4823525.355675261
625334,375899.54844456806,4823536.364531016,6441534878,375885.66539618303,4823525.355675261
625334,375899.54844456806,4823536.364531016,2051366676,376103.39678886905,4823678.484275332
6441534878,375885.66539618303,4823525.355675261,1333728731,375516.9252511724,4823528.148561528
6441534878,375885.66539618303,4823525.355675261,625334,375899.54844456806,4823536.364531016
6441534878,375885.66539618303,4823525.355675261,625334,375899.54844456806,4823536.364531016
2051366676,376103.39678886905,4823678.484275332,9338702981,376140.82457525877,4823620.322251199
2051366676,376103.39678886905,4823678.484275332,5113364105,376090.82862613146,4823699.725022454
2051366676,376103.39678886905,4823678.484275332,625334,375899.54844456806,4823536.364531016
2051366676,376103.39678886905,4823678.484275332,3950408619,376109.7599501722,4823709.807886136
636517,375416.3891913765,4824157.180838433,194151923,375412.90807283646,4824165.5112457955
636517,375416.3891913765,4824157.180838433,194151533,375409.1075659375,4824137.040300861
636517,375416.3891913765,4824157.180838433,11436885118,375421.59902193566,4824145.352048721
636517,375416.3891913765,4824157.180838433,3980827131,375420.04724238097,4824168.833958473
194151923,375412.90807283646,4824165.5112457955,3980827134,375396.3969181917,4824206.157929027
194151923,375412.90807283646,4824165.5112457955,636517,375416.3891913765,4824157.180838433
194151923,375412.90807283646,4824165.5112457955,194151529,375404.47730082605,4824145.269828956
194151923,375412.90807283646,4824165.5112457955,4413168188,375416.49909248005,4824171.810609693
194151533,375409.1075659375,4824137.040300861,194151529,375404.47730082605,4824145.269828956
194151533,375409.1075659375,4824137.040300861,636517,375416.3891913765,4824157.180838433
194151533,375409.1075659375,4824137.040300861,11436885124,375415.56501232035,4824128.876858559
194151533,375409.1075659375,4824137.040300861,746680919,375403.80841559725,4824121.41805896
11436885118,375421.59902193566,4824145.352048721,11436885124,375415.56501232035,4824128.876858559
11436885118,375421.59902193566,4824145.352048721,636517,375416.3891913765,4824157.180838433
11436885118,375421.59902193566,4824145.352048721,11436885120,375424.68359647226,4824130.018624276
11436885118,375421.59902193566,4824145.352048721,11436885119,375426.37685618864,4824163.361506541
3980827131,375420.04724238097,4824168.833958473,11436885119,375426.37685618864,4824163.361506541
3980827131,375420.04724238097,4824168.833958473,4413168188,375416.49909248005,4824171.810609693
3980827131,375420.04724238097,4824168.833958473,636517,375416.3891913765,4824157.180838433
3980827131,375420.04724238097,4824168.833958473,3980827133,375431.3222885168,4824200.8547177445
636538,375201.17336057907,4824653.594335614,4413203762,375205.2844946533,4824656.584255922
636538,375201.17336057907,4824653.594335614,2515107879,375221.04534598143,4824614.817713692
636538,375201.17336057907,4824653.594335614,1378821559,375197.29984973,4824660.343450625
4413203762,375205.2844946533,4824656.584255922,636538,375201.17336057907,4824653.594335614
4413203762,375205.2844946533,4824656.584255922,4413203763,375206.8229713186,4824654.600297345
4413203762,375205.2844946533,4824656.584255922,4413203761,375203.1690447319,4824659.689939692
4413203762,375205.2844946533,4824656.584255922,4413199683,375513.8521766013,4824906.139264378
2515107879,375221.04534598143,4824614.817713692,636538,375201.17336057907,4824653.594335614
2515107879,375221.04534598143,4824614.817713692,4332833347,375230.8447581181,4824620.4571870575
2515107879,375221.04534598143,4824614.817713692,4332833336,375260.27212150727,4824540.696162885
1378821559,375197.29984973,4824660.343450625,636538,375201.17336057907,4824653.594335614
1378821559,375197.29984973,4824660.343450625,4413203766,375200.4456730761,4824661.818138796
1378821559,375197.29984973,4824660.343450625,4413203764,375194.18114389176,4824659.023799376
1378821559,375197.29984973,4824660.343450625,13449099401,375189.44862433063,4824675.187933535
636539,375321.8850205714,4824417.330765735,649090975,375345.13952382246,4824365.282012971
636539,375321.8850205714,4824417.330765735,12331322791,375263.5481090951,4824534.391482848
636539,375321.8850205714,4824417.330765735,747139630,375491.5933236074,4824558.010447308
649090975,375345.13952382246,4824365.282012971,933310411,375516.6063652498,4824513.184491269
649090975,375345.13952382246,4824365.282012971,4413168181,375374.88707898965,4824284.349130333
649090975,375345.13952382246,4824365.282012971,636539,375321.8850205714,4824417.330765735
12331322791,375263.5481090951,4824534.391482848,4332833336,375260.27212150727,4824540.696162885
12331322791,375263.5481090951,4824534.391482848,2515107875,375306.35042606737,4824562.237760442
12331322791,375263.5481090951,4824534.391482848,636539,375321.8850205714,4824417.330765735
747139630,375491.5933236074,4824558.010447308,13584993050,375516.4790317174,4824578.63560161
747139630,375491.5933236074,4824558.010447308,636539,375321.8850205714,4824417.330765735
747139630,375491.5933236074,4824558.010447308,1785898016,375459.28168189886,4824596.972544212
636647,375484.97154661437,4826194.721221132,3578250081,375476.7916099872,4826187.429343762
636647,375484.97154661437,4826194.721221132,3578250082,375494.49626700307,4826202.665861199
636647,375484.97154661437,4826194.721221132,3578250083,375477.501867734,4826203.503425673
636647,375484.97154661437,4826194.721221132,161620015,375628.6563845419,4826031.1503237225
3578250081,375476.7916099872,4826187.429343762,636647,375484.97154661437,4826194.721221132
